trials,subj_idx,response,reward,traveltime,rt,rwdbin,TotalTime,stress,stai_state,stai_trait,SSC,subID,tt,stress2
814,7,1,0.890743784275969,20,0.483,3,0.0865071245373365,1,0.12,0.145454545454545,0.450707361,39862,l,n
815,7,1,0.817969191348696,20,0.464,3,0.125388301895207,1,0.12,0.145454545454545,0.450707361,39862,l,n
816,7,1,0.761330822858533,20,0.62,3,0.165746336020714,1,0.12,0.145454545454545,0.450707361,39862,l,n
817,7,1,0.682668342779229,20,0.502,3,0.2052430194527,1,0.12,0.145454545454545,0.450707361,39862,l,n
819,7,1,0.657888808600599,5,0.465,3,0,1,0.12,0.145454545454545,0.450707361,39862,s,n
820,7,1,0.594744202738785,5,0.622,2,0.0456271946926435,1,0.12,0.145454545454545,0.450707361,39862,s,n
821,7,1,0.535155937968342,5,0.847,2,0.0856747684668833,1,0.12,0.145454545454545,0.450707361,39862,s,n
822,7,1,0.496564068556206,5,0.456,2,0.130135501777611,1,0.12,0.145454545454545,0.450707361,39862,s,n
823,7,1,0.479200373235138,5,0.512,2,0.169236600003223,1,0.12,0.145454545454545,0.450707361,39862,s,n
824,7,1,0.427517614645538,5,0.546,2,0.20842540921242,1,0.12,0.145454545454545,0.450707361,39862,s,n
825,7,1,0.349951196454774,5,0.5,2,0.248331827846508,1,0.12,0.145454545454545,0.450707361,39862,s,n
826,7,1,0.250347387612299,5,0.816,1,0.287330243028777,1,0.12,0.145454545454545,0.450707361,39862,s,n
827,7,1,0.221009161112012,5,0.556,1,0.328200955261916,1,0.12,0.145454545454545,0.450707361,39862,s,n
828,7,1,0.158966693238288,5,0.524,1,0.367599443270606,1,0.12,0.145454545454545,0.450707361,39862,s,n
829,7,1,0.0729687507575014,5,0.581,1,0.407149098609608,1,0.12,0.145454545454545,0.450707361,39862,s,n
830,7,1,0.0420150062792471,5,0.465,1,0.446848711920293,1,0.12,0.145454545454545,0.450707361,39862,s,n
831,7,0,0,5,0.663,0,0.485866801668403,1,0.12,0.145454545454545,0.450707361,39862,s,n
832,7,1,0.932958088347627,5,0.513,3,0,1,0.12,0.145454545454545,0.450707361,39862,s,n
