subj_idx,condition,travel_time,response,n_from_leave,rt,max_cz,max_c3,max_c4
47204,1,0.0,1,2,1.644,1.17874944210052,3.14266061782837,2.2838613986969
47204,1,0.0,1,1,1.532,1.56326115131378,-0.140006557106972,-0.859492719173431
47204,1,20.068,0,0,1.64,-3.69331455230713,2.17651152610779,-5.12811756134033
47204,1,0.0,1,24,1.852,7.44596290588379,7.21757459640503,8.32449245452881
47204,1,0.0,1,23,1.532,-6.86312341690063,-4.0465202331543,-7.40321922302246
47204,1,0.0,1,22,1.628,3.93401026725769,5.2966890335083,1.36897397041321
47204,1,0.0,1,21,2.728,5.06837749481201,6.32940244674683,2.84813380241394
47204,1,0.0,1,20,2.508,5.59019565582275,12.7139387130737,9.47864055633545
47204,1,0.0,1,19,1.852,-3.10100126266479,-4.27350473403931,-1.47882974147797
47204,1,0.0,1,18,1.652,0.854634165763855,1.14786064624786,3.04231238365173
47204,2,0.0,1,17,1.868,-1.75593507289886,-1.15877783298492,0.699747025966644
47204,2,0.0,1,16,1.748,-3.31056952476501,-4.69520950317383,-1.18604123592377
47204,2,0.0,1,15,2.192,3.2979474067688,0.852928161621094,3.59114217758179
47204,2,0.0,1,14,1.752,3.53455567359924,3.85565757751465,2.50270771980286
47204,2,0.0,1,13,1.748,-4.5453052520752,-3.91582202911377,-4.18731880187988
47204,2,0.0,1,12,2.092,2.53499269485474,0.751058340072632,4.11426401138306
47204,2,0.0,1,11,1.86,4.16828870773315,2.23333358764648,5.85108852386475
47204,2,0.0,1,10,1.648,-3.89698195457458,-2.38672256469727,0.277809798717499
47204,2,0.0,1,9,1.644,-1.43939161300659,1.15293228626251,-0.536310911178589
47204,2,0.0,1,8,1.972,-1.18696713447571,-2.23266506195068,-0.762137115001678
47204,2,0.0,1,7,1.76,-3.81750702857971,-3.36199712753296,-2.27920293807983
47204,2,0.0,1,6,1.652,0.004806013777852,-1.43468165397644,1.50924026966095
47204,2,0.0,1,5,1.748,0.647285640239716,0.921809554100037,-1.41285014152527
47204,2,0.0,1,4,1.424,-1.54379570484161,-1.83541536331177,-3.12240982055664
