subj_idx,condition,travel_time,response,max_cz,max_c3,max_c4
43650,1,5,1,179.167129516602,206.294403076172,-60.2610359191895
43650,1,5,1,183.125915527344,213.7109375,-50.1670684814453
43650,1,5,1,185.034957885742,209.263000488281,-51.6720848083496
43650,1,20,1,166.07878112793,199.39274597168,-68.5964736938477
43650,1,20,1,176.947143554688,205.167572021484,-60.1402626037598
43650,1,20,1,179.426513671875,207.377639770508,-56.0329208374023
43650,1,20,1,182.25846862793,209.088668823242,-54.0683975219727
43650,1,20,0,173.449768066406,198.731292724609,-52.6583709716797
43650,1,20,1,178.630432128906,202.177124023438,-56.2388954162598
43650,1,20,1,172.762619018555,200.02848815918,-56.9141693115234
43650,1,20,1,183.561614990234,207.801483154297,-45.4853858947754
43650,1,20,1,187.393646240234,207.003372192383,-43.360408782959
43650,1,20,1,179.206680297852,205.312103271484,-50.4740142822266
43650,1,20,1,182.307922363281,209.146087646484,-47.6222190856934
43650,1,20,1,180.785034179688,207.278625488281,-55.4070816040039
43650,1,20,1,187.839233398438,209.449096679688,-42.2375679016113
43650,1,20,1,182.810974121094,202.452438354492,-55.4962387084961
43650,1,20,0,175.840118408203,204.199142456055,-62.5582618713379
43650,1,20,1,183.175415039062,212.679138183594,-51.8444061279297
43650,1,20,1,177.913528442383,208.066833496094,-59.0193290710449
43650,1,20,1,183.44075012207,214.081207275391,-53.0881309509277
43650,1,20,1,186.056915283203,212.237533569336,-52.2345237731934
43650,1,20,1,181.658477783203,210.061050415039,-56.9339714050293
43650,1,20,1,180.971313476562,211.045364379883,-54.1832237243652
43650,1,20,0,185.246856689453,206.056686401367,-51.7256050109863
43650,1,20,1,187.213470458984,205.828964233398,-47.9410667419434
43650,1,20,1,175.299362182617,198.723388671875,-58.1954803466797
43650,1,20,1,187.704559326172,212.348419189453,-48.9431190490723
43650,1,20,1,183.207153320312,210.005630493164,-50.3076400756836
43650,1,20,1,181.186996459961,202.70198059082,-53.1039733886719
43650,1,20,1,183.203125,203.165328979492,-50.073974609375
43650,1,20,1,180.589004516602,200.519577026367,-52.973201751709
43650,1,20,1,184.537994384766,203.442626953125,-50.065990447998
43650,1,20,1,192.437576293945,216.047760009766,-41.5365219116211
43650,1,20,1,185.086471557617,208.728286743164,-53.2484817504883
43650,1,20,0,179.186920166016,211.692855834961,-57.2825508117676
43650,1,20,1,182.294082641602,212.039489746094,-57.1815643310547
43650,2,20,1,195.420074462891,219.10546875,-45.913200378418
43650,2,20,1,189.659194946289,214.627838134766,-46.0696678161621
43650,2,20,1,195.956756591797,220.889770507812,-41.6652641296387
43650,2,20,1,190.172180175781,217.172607421875,-46.6537971496582
43650,2,20,1,191.219741821289,215.705200195312,-48.2123718261719
43650,2,20,1,186.601486206055,216.069549560547,-50.8264770507812
43650,2,20,1,196.491485595703,216.88151550293,-43.4713592529297
43650,2,20,0,192.699081420898,211.991912841797,-41.1285820007324
43650,2,20,1,190.962280273438,218.014221191406,-44.1565742492676
43650,2,20,1,196.247924804688,208.336135864258,-40.5939178466797
43650,2,20,1,189.843246459961,211.512619018555,-45.5646476745605
43650,2,20,1,192.261428833008,214.623870849609,-43.2733192443848
43650,2,20,1,186.043014526367,208.575744628906,-47.9786911010742
43650,2,20,1,186.819351196289,213.332641601562,-42.528678894043
43650,2,20,1,202.925735473633,217.255798339844,-39.5363464355469
43650,2,20,0,198.545196533203,217.655822753906,-41.0929107666016
43650,2,20,1,186.740112304688,207.522155761719,-50.2086601257324
43650,2,20,1,194.412109375,215.150634765625,-46.0577659606934
43650,2,20,1,195.869644165039,221.590805053711,-42.663387298584
43650,2,20,1,196.216262817383,221.228424072266,-39.6630973815918
43650,2,20,1,189.552230834961,218.362854003906,-43.0436210632324
43650,2,20,1,185.868789672852,211.681060791016,-52.7830772399902
